Time, GPU Index, Temp C, GPU %, Memory %
2016-11-21 19:05:49.238000,GPU0,34,7,8
2016-11-21 19:05:51.242000,GPU0,34,6,7
2016-11-21 19:05:53.246000,GPU0,33,6,7
2016-11-21 19:05:55.252000,GPU0,34,6,7
2016-11-21 19:05:57.255000,GPU0,34,4,7
2016-11-21 19:05:59.259000,GPU0,33,5,7
2016-11-21 19:06:01.262000,GPU0,34,5,7
2016-11-21 19:06:03.267000,GPU0,34,6,8
2016-11-21 19:06:05.273000,GPU0,33,5,2
2016-11-21 19:06:07.279000,GPU0,33,5,2
2016-11-21 19:06:09.283000,GPU0,34,5,2
2016-11-21 19:06:11.289000,GPU0,33,3,1
2016-11-21 19:06:13.295000,GPU0,34,4,2
2016-11-21 19:06:15.301000,GPU0,33,4,2
2016-11-21 19:06:17.306000,GPU0,33,6,3
2016-11-21 19:06:19.310000,GPU0,33,6,2
2016-11-21 19:06:21.314000,GPU0,33,5,2
2016-11-21 19:06:23.318000,GPU0,33,7,3
2016-11-21 19:06:25.321000,GPU0,33,3,1
2016-11-21 19:06:27.325000,GPU0,33,3,1
2016-11-21 19:06:29.329000,GPU0,33,3,1
2016-11-21 19:06:31.333000,GPU0,33,6,3
2016-11-21 19:06:33.340000,GPU0,33,7,3
2016-11-21 19:06:35.345000,GPU0,33,5,2
2016-11-21 19:06:37.366000,GPU0,33,5,2
2016-11-21 19:06:39.370000,GPU0,33,3,1
2016-11-21 19:06:41.374000,GPU0,33,3,1
2016-11-21 19:06:43.378000,GPU0,33,5,2
2016-11-21 19:06:45.383000,GPU0,33,6,3
2016-11-21 19:06:47.388000,GPU0,33,6,2
2016-11-21 19:06:49.395000,GPU0,33,6,2
2016-11-21 19:06:51.398000,GPU0,33,5,2
2016-11-21 19:06:53.401000,GPU0,33,6,2
2016-11-21 19:06:55.407000,GPU0,33,3,1
2016-11-21 19:06:57.410000,GPU0,33,3,1
2016-11-21 19:06:59.415000,GPU0,33,7,4
2016-11-21 19:07:01.422000,GPU0,33,5,2
2016-11-21 19:07:03.426000,GPU0,33,8,3
2016-11-21 19:07:05.430000,GPU0,33,6,2
2016-11-21 19:07:07.433000,GPU0,33,4,2
2016-11-21 19:07:09.440000,GPU0,33,3,1
2016-11-21 19:07:11.443000,GPU0,33,4,1
2016-11-21 19:07:13.448000,GPU0,33,9,4
